bairro_origem,bairro_destino,logradouro,observacao,peso
Casa Amarela,Morro da Conceição,Estrada Morro da Conceição,Atravessa a Avenida Norte e chega na Rua da Harmonia,6
Casa Amarela,Alto José Do Pinho,R. Bella Vista,Atravessa a Avenida Norte e chega na Rua Cabo Epitácio Lucena,1
Casa Amarela,Tamarineira,R. Guimarães Peixoto,,1
Casa Forte,Santana,Rua Dona Olegarinha,A partir da rua chega na Avenida Dezessete de Agoasto,1
Casa Forte,Parnamirim,Av. Dezessete de Agosto,,2
Derby,Graças,R. Amaro Bezerra,Quando chega nas graças - ela vira a R. das Creoulas,1
Derby,Madalena,R. Joaquim Nabuco,Acesso pela ponte,1
Dois Irmãos,Caxangá,R. Manuel de Medeiros,Precisa verificar,1
Dois Irmãos,Sítio Dos Pintos,Estr. dos Pintos,Utiliza a Estrada para chegar na Rua Manuel de Medeiros,6
Espinheiro,Graças,R. do Espinheiro,,1
Espinheiro,Boa Vista,Av. João de Barros,,2
Graças,Torre,R. Amélia,Quando chega na Torre - ela vira Rua Conde de Irajá,1
Graças,Jaqueira,R. do Futuro,,1
Graças,Boa Vista,R. Bandeira Filho,A partir da Avenida Montevidéu atravessa a ponte na Agamenon para chegar na rua nas graças,1
Jaqueira,Parnamirim,Av. Rui Barbosa,,2
Jaqueira,Tamarineira,Av. Conselheiro Rosa e Silva,,2
Parnamirim,Santana,R. Leonardo Bezerra Cavalcante,,1
Parnamirim,Torre,R. José Bonifácio,Acesso pela ponte,1
Poço,Santana,R. Sant'Anna,,1
Poço,Casa Forte,R. Oliveira Góes,A partir da rua - atravessa a Avenida 17 de agosto para chegar na Praça de Casa Forte,1
Poço,Monteiro,R. Tapacurá,,1
Sítio dos Pintos,Caxangá,R. Manuel de Medeiros,Precisa verificar,1
Alto José Bonifácio,Vasco da Gama,R. Alto Nossa Sra. de Fátima,,1
Alto José Bonifácio,Morro da Conceição,R. Córrego do Euclídes,,1
Alto José Bonifácio,Brejo De Beberibe,R. Alto José Bonifácio,no Cruzamento com  Av. Ver. Otacilio Azevedo,1
Alto José Do Pinho,Mangabeira,R. Severino Bernadino Pereira,,1
Alto José Do Pinho,Morro da Conceição,R. Córrego do Bartolomeu,,1
Alto José Do Pinho,Tamarineira,R. Monte Horebe,,1
Mangabeira,Tamarineira,R. da Mangabeira,Atravessa a Avenida Norte e chega na Rua Guimarães Peixoto,1
