microrregiao,densidade_media_ego,num_bairros
6.3,0.8333333333333334,1
6.1,0.7611111111111111,6
1.3,0.75,2
5.2,0.7107142857142857,4
4.2,0.6833333333333333,2
4.3,0.6666666666666666,3
2.2,0.6595238095238094,9
2.3,0.6571428571428571,3
3.3,0.6529761904761905,8
6.2,0.6488095238095238,2
2.1,0.6330687830687831,9
5.3,0.6268707482993197,7
3.2,0.6247619047619047,5
1.2,0.6047619047619047,7
1.1,0.6,2
5.1,0.5900000000000001,5
3.1,0.5707837301587302,16
4.1,0.5537414965986395,7
