X,Y,bairro_X,bairro_Y,custo,caminho
R. Nova Descoberta 1262,R. Padre Carapuceiro 777,Nova Descoberta,Boa Viagem (Setúbal),12.0,Nova Descoberta -> Córrego Do Jenipapo -> Apipucos -> Caxangá -> Várzea -> Curado -> Jardim São Paulo -> Barro -> Ibura -> Jordão -> Boa Viagem -> Boa Viagem (Setúbal)
R. Muniz Tavares 81,R. Deão Faria 247,Jaqueira,Imbiribeira,11.0,Jaqueira -> Graças -> Torre -> Cordeiro -> San Martin -> Jardim São Paulo -> Barro -> Ibura -> Imbiribeira
R. Faustino Porto 200,R. Pica Pau 326,Boa Viagem,Passarinho,13.0,Boa Viagem -> Jordão -> Ibura -> Barro -> Jardim São Paulo -> Curado -> Várzea -> Caxangá -> Apipucos -> Córrego Do Jenipapo -> Nova Descoberta -> Brejo Da Guabiraba -> Passarinho
Av. Afonso Olindense 100,Rua Nanuque 37,Várzea,Brasília Teimosa,9.0,Várzea -> Curado -> Jardim São Paulo -> Barro -> Ibura -> Jordão -> Boa Viagem -> Pina -> Brasília Teimosa
Av. Norte Miguel Arraes de Alencar 7000,Av. Dois Rios 500,Macaxeira,Ibura,8.0,Macaxeira -> Apipucos -> Caxangá -> Várzea -> Curado -> Jardim São Paulo -> Barro -> Ibura
